Date,history,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL
2020-01-24,1,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL
2020-01-26,1,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL
2020-01-28,3,NULL,NULL,NULL
2020-01-29,0,NULL,NULL,NULL
2020-01-30,0,NULL,NULL,NULL
2020-01-31,1,NULL,NULL,NULL
2020-02-01,0,NULL,NULL,NULL
2020-02-02,0,NULL,NULL,NULL
2020-02-03,0,NULL,NULL,NULL
2020-02-04,1,NULL,NULL,NULL
2020-02-05,0,NULL,NULL,NULL
2020-02-06,4,NULL,NULL,NULL
2020-02-07,0,NULL,NULL,NULL
2020-02-08,1,NULL,NULL,NULL
2020-02-09,0,NULL,NULL,NULL
2020-02-10,0,NULL,NULL,NULL
2020-02-11,0,NULL,NULL,NULL
2020-02-12,0,NULL,NULL,NULL
2020-02-13,0,NULL,NULL,NULL
2020-02-14,0,NULL,NULL,NULL
2020-02-15,0,NULL,NULL,NULL
2020-02-16,2,NULL,NULL,NULL
2020-02-17,2,NULL,NULL,NULL
2020-02-18,0,NULL,NULL,NULL
2020-02-19,1,NULL,NULL,NULL
2020-02-20,0,NULL,NULL,NULL
2020-02-21,1,NULL,NULL,NULL
2020-02-22,0,NULL,NULL,NULL
2020-02-23,2,NULL,NULL,NULL
2020-02-24,1,NULL,NULL,NULL
2020-02-25,0,NULL,NULL,NULL
2020-02-26,0,NULL,NULL,NULL
2020-02-27,0,NULL,NULL,NULL
2020-02-28,2,NULL,NULL,NULL
2020-02-29,5,NULL,NULL,NULL
2020-03-01,0,NULL,NULL,NULL
2020-03-02,0,NULL,NULL,NULL
2020-03-03,0,NULL,NULL,NULL
2020-03-04,0,NULL,NULL,NULL
2020-03-05,2,NULL,NULL,NULL
2020-03-06,0,NULL,NULL,NULL
2020-03-07,0,NULL,NULL,NULL
2020-03-08,0,NULL,NULL,NULL
2020-03-09,0,NULL,NULL,NULL
2020-03-10,2,NULL,NULL,NULL
2020-03-11,0,NULL,NULL,NULL
2020-03-12,0,NULL,NULL,NULL
2020-03-13,1,NULL,NULL,NULL
2020-03-14,3,NULL,NULL,NULL
2020-03-15,5,NULL,NULL,NULL
2020-03-16,7,NULL,NULL,NULL
2020-03-17,10,NULL,NULL,NULL
2020-03-18,23,NULL,NULL,NULL
2020-03-19,7,NULL,NULL,NULL
2020-03-20,27,NULL,NULL,NULL
2020-03-21,17,NULL,NULL,NULL
2020-03-22,16,NULL,NULL,NULL
2020-03-23,26,NULL,NULL,NULL
2020-03-24,20,NULL,NULL,NULL
2020-03-25,20,NULL,NULL,NULL
2020-03-26,17,NULL,NULL,NULL
2020-03-27,15,NULL,NULL,NULL
2020-03-28,15,NULL,NULL,NULL
2020-03-29,15,NULL,NULL,NULL
2020-03-30,7,NULL,NULL,NULL
2020-03-31,16,NULL,NULL,NULL
2020-04-01,7,NULL,NULL,NULL
2020-04-02,9,NULL,NULL,NULL
2020-04-03,9,NULL,NULL,NULL
2020-04-04,7,NULL,NULL,NULL
2020-04-05,7,NULL,NULL,NULL
2020-04-06,10,NULL,NULL,NULL
2020-04-07,2,NULL,NULL,NULL
2020-04-08,3,NULL,NULL,NULL
2020-04-09,0,NULL,NULL,NULL
2020-04-10,1,NULL,NULL,NULL
2020-04-11,3,NULL,NULL,NULL
2020-04-12,3,NULL,NULL,NULL
2020-04-13,5,NULL,NULL,NULL
2020-04-14,0,NULL,NULL,NULL
2020-04-15,1,NULL,NULL,NULL
2020-04-16,0,NULL,NULL,NULL
2020-04-17,0,NULL,NULL,NULL
2020-04-18,3,NULL,NULL,NULL
2020-04-19,21,NULL,NULL,NULL
2020-04-20,1,NULL,NULL,NULL
2020-04-21,3,NULL,NULL,NULL
2020-04-22,0,NULL,NULL,NULL
2020-04-23,0,NULL,NULL,NULL
2020-04-24,1,NULL,NULL,NULL
2020-04-25,0,NULL,NULL,NULL
2020-04-26,0,NULL,NULL,NULL
2020-04-27,0,NULL,NULL,NULL
2020-04-28,0,NULL,NULL,NULL
2020-04-29,0,NULL,NULL,NULL
2020-04-30,0,NULL,NULL,NULL
2020-05-01,0,NULL,NULL,NULL
2020-05-02,2,NULL,NULL,NULL
2020-05-03,4,NULL,NULL,NULL
2020-05-04,1,NULL,NULL,NULL
2020-05-05,0,NULL,NULL,NULL
2020-05-06,0,NULL,NULL,NULL
2020-05-07,0,NULL,NULL,NULL
2020-05-08,0,NULL,NULL,NULL
2020-05-09,0,NULL,NULL,NULL
2020-05-10,0,NULL,NULL,NULL
2020-05-11,0,NULL,NULL,NULL
2020-05-12,0,NULL,NULL,NULL
2020-05-13,0,NULL,NULL,NULL
2020-05-14,0,NULL,NULL,NULL
2020-05-15,0,NULL,NULL,NULL
2020-05-16,0,NULL,NULL,NULL
2020-05-17,0,NULL,NULL,NULL
2020-05-18,0,NULL,NULL,NULL
2020-05-19,0,NULL,NULL,NULL
2020-05-20,0,NULL,NULL,NULL
2020-05-21,0,NULL,NULL,NULL
2020-05-22,1,NULL,NULL,NULL
2020-05-23,0,NULL,NULL,NULL
2020-05-24,0,NULL,NULL,NULL
2020-05-25,0,NULL,NULL,NULL
2020-05-26,0,NULL,NULL,NULL
2020-05-27,0,NULL,NULL,NULL
2020-05-28,0,NULL,NULL,NULL
2020-05-29,0,NULL,NULL,NULL
2020-05-30,0,NULL,NULL,NULL
2020-05-31,0,NULL,NULL,NULL
2020-06-01,1,NULL,NULL,NULL
2020-06-02,0,NULL,NULL,NULL
2020-06-03,0,NULL,NULL,NULL
2020-06-04,0,NULL,NULL,NULL
2020-06-05,0,NULL,NULL,NULL
2020-06-06,0,NULL,NULL,NULL
2020-06-07,0,NULL,NULL,NULL
2020-06-08,0,NULL,NULL,NULL
2020-06-09,0,NULL,NULL,NULL
2020-06-10,0,NULL,NULL,NULL
2020-06-11,0,NULL,NULL,NULL
2020-06-12,0,NULL,NULL,NULL
2020-06-13,0,NULL,NULL,NULL
2020-06-14,0,NULL,NULL,NULL
2020-06-15,1,NULL,NULL,NULL
2020-06-16,0,NULL,NULL,NULL
2020-06-17,0,NULL,NULL,NULL
2020-06-18,1,NULL,NULL,NULL
2020-06-19,0,NULL,NULL,NULL
2020-06-20,0,NULL,NULL,NULL
2020-06-21,0,NULL,NULL,NULL
2020-06-22,0,NULL,NULL,NULL
2020-06-23,0,NULL,NULL,NULL
2020-06-24,0,NULL,NULL,NULL
2020-06-25,0,NULL,NULL,NULL
2020-06-26,0,NULL,NULL,NULL
2020-06-27,0,NULL,NULL,NULL
2020-06-28,0,NULL,NULL,NULL
2020-06-29,0,NULL,NULL,NULL
2020-06-30,0,NULL,NULL,NULL
2020-07-01,0,NULL,NULL,NULL
2020-07-02,1,NULL,NULL,NULL
2020-07-03,0,NULL,NULL,NULL
2020-07-04,0,NULL,NULL,NULL
2020-07-05,0,NULL,NULL,NULL
2020-07-06,0,NULL,NULL,NULL
2020-07-07,0,NULL,NULL,NULL
2020-07-08,0,NULL,NULL,NULL
2020-07-09,0,NULL,NULL,NULL
2020-07-10,0,NULL,NULL,NULL
2020-07-11,1,NULL,NULL,NULL
2020-07-12,0,NULL,NULL,NULL
2020-07-13,0,NULL,NULL,NULL
2020-07-14,0,NULL,NULL,NULL
2020-07-15,0,NULL,NULL,NULL
2020-07-16,0,NULL,NULL,NULL
2020-07-17,0,NULL,NULL,NULL
2020-07-18,0,NULL,NULL,NULL
2020-07-19,0,NULL,NULL,NULL
2020-07-20,0,NULL,NULL,NULL
2020-07-21,0,NULL,NULL,NULL
2020-07-22,4,NULL,NULL,NULL
